id,state_id,name
03733494-eda9-41b7-81a8-a43e356b33f1,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Del Norte
0844f2bc-f552-4360-8416-24418751222c,c7b095a3-7877-4af1-8810-cf6ba2b292fa,San Bernardino
0ba94c22-eac7-4b68-aa03-adf708c405b1,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Glenn
0d5093fb-7483-4a9c-a67e-d878eb9fac5e,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Yuba
15eb0180-d650-410c-95d6-4959be1053b5,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Shasta
2018ba2d-06dd-47a1-8cd9-0040f51c22bd,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Mono
2154011e-d20d-4a38-8d42-187fb70cafd3,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Sierra
21899a6e-46e9-4cc6-a7d9-0f411d306459,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Amador
244c452e-af5b-4ca0-b85a-3fe0a80e1d3f,c7b095a3-7877-4af1-8810-cf6ba2b292fa,El Dorado
2496a32c-b5f0-453e-b42e-3260be19ed59,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Solano
25d30aed-f411-4577-a301-d2df1e4d5b3e,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Los Angeles
347f0333-6ca7-4fe5-89eb-a1e24d075606,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Orange
3d5e4a7d-1dc3-4457-9632-8415aa2299f6,c7b095a3-7877-4af1-8810-cf6ba2b292fa,San Joaquin
3da7ad89-b615-4111-9545-b56080135064,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Sonoma
47c58348-70b4-4afd-b39e-5c517092ba6e,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Kings
488b4ca4-bf6b-431b-b8b6-01402bdd0fdb,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Merced
52e4f436-5cca-49b3-a942-a0184759a0aa,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Colusa
574be1cf-0f02-4f6c-8541-4fa1824655b8,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Nevada
5911e123-890b-4150-a743-01872a6ff344,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Alpine
5b60667a-81ea-415f-a137-e9640404f305,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Inyo
5bec32ec-d815-4068-a66f-28207998dfa9,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Mariposa
6436a7af-1e30-451d-84a0-979f548ed02e,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Lake
64d94c24-922b-4fdb-a23d-5f8c0cf9c510,c7b095a3-7877-4af1-8810-cf6ba2b292fa,San Luis Obispo
731f178c-078e-4aef-954c-24fb0f0dae97,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Stanislaus
75c21020-5cdf-4826-aa58-8be410d2225d,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Fresno
7cc8aa9a-fd62-4535-88b0-9450554b4847,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Ventura
7f32bc62-6b9d-4a93-9d2d-68a1c5293846,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Butte
7f3e12ab-8ce9-4874-b704-170bb4a278d1,c7b095a3-7877-4af1-8810-cf6ba2b292fa,San Francisco
808f5e97-42ae-4f6e-8633-c97ad97693ff,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Santa Cruz
8400c2ed-94bf-4e63-a9d6-9b6c2a71c4eb,c7b095a3-7877-4af1-8810-cf6ba2b292fa,Modoc
