id,zipcode,tax_region_name,state_rate,county_rate,city_rate,special_rate,risk_level,county_id
a3a2a642-5431-43b5-af50-c6b5410e4aed,91708,CHINO,0.06,0.0025,0,0.015,0,f5a714a4-1bbc-49b5-abdc-d5c31f9616e8
dfb2d25e-5e99-4da9-99ae-b22e6e0b6bd9,91709,POMONA,0.06,0.0025,0.0075,0.0325,0,762c5cf2-4b84-40ce-95a5-8288af021724
1df68fbe-3af4-4130-9b9f-feaedfac98de,91710,POMONA,0.06,0.0025,0.0075,0.0325,0,f5a714a4-1bbc-49b5-abdc-d5c31f9616e8
7032c3c2-cfeb-4335-bc47-e31250848d5a,91711,LA VERNE,0.06,0.0025,0.0075,0.0325,0,0957f843-6f7a-44da-a4d0-08019e5233ae
5594d19f-54a7-48ac-a4de-b8aee0cfb530,91714,INDUSTRY,0.06,0.0025,0,0.0325,0,facc210e-19c7-4fdc-969b-28aac5b00017
f37c8e5c-b810-41a5-9a5a-cb0a48df8f36,91715,INDUSTRY,0.06,0.0025,0,0.0325,0,facc210e-19c7-4fdc-969b-28aac5b00017
7153d33a-fd38-4b92-8145-873ffd38c8b1,91716,INDUSTRY,0.06,0.0025,0,0.0325,0,facc210e-19c7-4fdc-969b-28aac5b00017
8fc142c4-7faa-4b8e-b4cb-2d3b1044b80c,91722,AZUSA,0.06,0.0025,0.0075,0.0325,0,d505aca6-b9db-4cd3-aa20-784def211b13
9deb963c-9a03-4fd9-82cb-4560df0a8515,91723,COVINA,0.06,0.0025,0.0075,0.0325,0,d505aca6-b9db-4cd3-aa20-784def211b13
b173dbb5-60f3-4b62-9f52-38e7a8ec8e4f,91724,COVINA,0.06,0.0025,0.0075,0.0325,0,d505aca6-b9db-4cd3-aa20-784def211b13
e3931b3e-0307-4e24-a3c1-bca0ef29ab27,91729,RANCHO CUCAMONGA,0.06,0.0025,0,0.015,0,77bd3d53-9698-43ae-b99c-a3f45c014502
5a30fddb-96e5-4d51-b262-cf60d42bc5f5,91730,ONTARIO,0.06,0.0025,0.01,0.015,0,77bd3d53-9698-43ae-b99c-a3f45c014502
666e3c1d-32d3-4da1-8045-a017dbdec961,91731,EL MONTE,0.06,0.0025,0.005,0.0325,0,22955c55-7184-4097-b6b7-31e8900ebce7
0f2c8d74-813b-4373-a415-24f9955d0dbb,91732,ARCADIA,0.06,0.0025,0.0075,0.0325,0,22955c55-7184-4097-b6b7-31e8900ebce7
93f10d4a-2fa1-426a-8622-8e0b2eee468c,91733,SOUTH EL MONTE,0.06,0.0025,0.0075,0.0325,0,121cff86-573e-4411-840d-9cfc85a0c876
e35db0fb-4eb1-4e08-a4cd-5a39b5f8decb,91734,EL MONTE,0.06,0.0025,0.005,0.0325,0,22955c55-7184-4097-b6b7-31e8900ebce7
dd764255-c8d8-4f0f-b17a-fdbb915c3cbd,91735,EL MONTE,0.06,0.0025,0.005,0.0325,0,22955c55-7184-4097-b6b7-31e8900ebce7
a97bf32c-1430-458e-8c73-6aa29723def9,91737,RANCHO CUCAMONGA,0.06,0.0025,0,0.015,0,77bd3d53-9698-43ae-b99c-a3f45c014502
27720efd-ba12-4c4d-bf3b-c43ded2213fb,91739,ONTARIO,0.06,0.0025,0.01,0.015,0,77bd3d53-9698-43ae-b99c-a3f45c014502
